,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2017-01-01,2019-12-31,2019-06-01,20,100,6,20,128,2,6,0.001,0.0,0.5355309844017029,0.7876937389373779,0.16945946216583252,1.0,0.19819819927215576
1,2017-01-01,2019-12-31,2019-06-01,20,100,6,20,128,2,6,0.001,0.01,0.5296810865402222,0.7906846404075623,0.18180179595947266,1.0,0.23423422873020172
2,2017-01-01,2019-12-31,2019-06-01,20,100,6,20,128,2,6,0.01,0.0,0.33725181221961975,0.8638558983802795,0.17432433366775513,1.0,0.2432432472705841
3,2017-01-01,2019-12-31,2019-06-01,20,100,6,20,128,2,6,0.01,0.01,0.3737887740135193,0.8498739004135132,0.17090091109275818,1.0,0.315315306186676
4,2017-01-01,2019-12-31,2019-06-01,20,100,6,51,128,2,6,0.001,0.0,0.35581085085868835,0.8559279441833496,0.15518181025981903,1.0,0.20909090340137482
5,2017-01-01,2019-12-31,2019-06-01,20,100,6,51,128,2,6,0.001,0.01,0.3656085133552551,0.8519819378852844,0.17909091711044312,1.0,0.22727273404598236
6,2017-01-01,2019-12-31,2019-06-01,20,100,6,51,128,2,6,0.01,0.0,0.2523781657218933,0.8971711993217468,0.171727254986763,1.0,0.23636363446712494
7,2017-01-01,2019-12-31,2019-06-01,20,100,6,51,128,2,6,0.01,0.01,0.27916452288627625,0.8871170878410339,0.18290910124778748,1.0,0.26363635063171387
8,2017-01-01,2019-12-31,2019-06-01,20,100,6,62,128,2,6,0.001,0.0,0.3323485255241394,0.8656424880027771,0.1680734008550644,1.0,0.2568807303905487
9,2017-01-01,2019-12-31,2019-06-01,20,100,6,62,128,2,6,0.001,0.01,0.35071638226509094,0.8591806292533875,0.1766972541809082,1.0,0.24770642817020416
10,2017-01-01,2019-12-31,2019-06-01,20,100,6,62,128,2,6,0.01,0.0,0.28690817952156067,0.8836498856544495,0.16009174287319183,1.0,0.2110091745853424
11,2017-01-01,2019-12-31,2019-06-01,20,100,6,62,128,2,6,0.01,0.01,0.3005645275115967,0.8802421689033508,0.15889908373355865,1.0,0.2568807303905487
