,C,kernel,gamma,degree,accuracy
0,1,rbf,scale,,0.4718146718146718
1,1,rbf,auto,,0.5111969111969112
2,1,rbf,0.001,,0.5019305019305019
3,1,rbf,0.005,,0.4718146718146718
4,1,rbf,0.01,,0.46023166023166023
5,1,rbf,0.05,,0.4772200772200772
6,1,rbf,0.1,,0.5027027027027027
7,1,rbf,1,,0.5027027027027027
8,1,rbf,10,,0.5027027027027027
9,1,rbf,100,,0.5027027027027027
10,2,rbf,scale,,0.47413127413127415
11,2,rbf,auto,,0.4864864864864865
12,2,rbf,0.001,,0.4918918918918919
13,2,rbf,0.005,,0.46872586872586874
14,2,rbf,0.01,,0.4702702702702703
15,2,rbf,0.05,,0.48494208494208496
16,2,rbf,0.1,,0.5081081081081081
17,2,rbf,1,,0.5027027027027027
18,2,rbf,10,,0.5027027027027027
19,2,rbf,100,,0.5027027027027027
20,5,rbf,scale,,0.477992277992278
21,5,rbf,auto,,0.4756756756756757
22,5,rbf,0.001,,0.4772200772200772
23,5,rbf,0.005,,0.47644787644787645
24,5,rbf,0.01,,0.4803088803088803
25,5,rbf,0.05,,0.5003861003861004
26,5,rbf,0.1,,0.505019305019305
27,5,rbf,1,,0.5027027027027027
28,5,rbf,10,,0.5027027027027027
29,5,rbf,100,,0.5027027027027027
30,7,rbf,scale,,0.47876447876447875
31,7,rbf,auto,,0.4803088803088803
32,7,rbf,0.001,,0.48185328185328186
33,7,rbf,0.005,,0.477992277992278
34,7,rbf,0.01,,0.49266409266409267
35,7,rbf,0.05,,0.49498069498069497
36,7,rbf,0.1,,0.505019305019305
37,7,rbf,1,,0.5027027027027027
38,7,rbf,10,,0.5027027027027027
39,7,rbf,100,,0.5027027027027027
40,10,rbf,scale,,0.48416988416988416
41,10,rbf,auto,,0.4857142857142857
42,10,rbf,0.001,,0.48185328185328186
43,10,rbf,0.005,,0.47876447876447875
44,10,rbf,0.01,,0.488030888030888
45,10,rbf,0.05,,0.49266409266409267
46,10,rbf,0.1,,0.505019305019305
47,10,rbf,1,,0.5027027027027027
48,10,rbf,10,,0.5027027027027027
49,10,rbf,100,,0.5027027027027027
50,1,poly,,1.0,0.48957528957528956
51,1,poly,,2.0,0.47413127413127415
52,1,poly,,3.0,0.45714285714285713
53,1,poly,,5.0,0.4694980694980695
54,2,poly,,1.0,0.48725868725868726
55,2,poly,,2.0,0.4718146718146718
56,2,poly,,3.0,0.4725868725868726
57,2,poly,,5.0,0.4725868725868726
58,5,poly,,1.0,0.49266409266409267
59,5,poly,,2.0,0.47644787644787645
60,5,poly,,3.0,0.477992277992278
61,5,poly,,5.0,0.4826254826254826
62,7,poly,,1.0,0.4942084942084942
63,7,poly,,2.0,0.4826254826254826
64,7,poly,,3.0,0.47953667953667956
65,7,poly,,5.0,0.47953667953667956
66,10,poly,,1.0,0.4957528957528958
67,10,poly,,2.0,0.49266409266409267
68,10,poly,,3.0,0.4756756756756757
69,10,poly,,5.0,0.4772200772200772
